消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
2417, ,,2005/8/22,,100,,J2004JJ0255G50,0,509007.94,2545894.035,,禅城区,,,, ,XHS,5733902,消防栓,0,5.73, ,                                                            
2419, ,,2005/8/22,,100,,J2004JJ0255G101,0,508978.446,2545670.267,,禅城区,,,, ,XHS,5733904,消防栓,0,4.67, ,                                                            
2420, ,,2005/9/8,,100,,J2004JJ0242G35,0,513754.145,2544398.625,,禅城区,,,, ,XHS,5733905,消防栓,0,2.5, ,                                                            
2421, ,,2005/9/8,,100,,J2004JJ0242G57,0,513882.287,2544368.547,,禅城区,,,, ,XHS,5733906,消防栓,0,2.47, ,                                                            
288, ,,,,100,,J7086324674,1.55,509774.263,2550152.725,,禅城区,,,, ,XHS,5731343,消防栓,0,1.55, ,佛山大桥底佛山市电器厂门口                                  
403, ,,,,100,,J689635B22393,3.166,510471.842,2546407.422,,禅城区,,,, ,XHS,5731506,消防栓,0,3.166, ,汾江中路佛山国际信托投资公司南侧                            
475, ,,,,100,,J691635B4106,2.749,510605.635,2546871.555,,禅城区,,,, ,XHS,5731527,消防栓,0,2.749, ,同华西路2号侧                                               
267, ,,,,100,,J70864243296,2.751,512198.292,2550179.21,,禅城区,,,, ,XHS,5731382,消防栓,0,2.751, ,文沙四街15号西侧                                            
223, ,,,,100,,J7106391723,2.235,511386.594,2550722.638,,禅城区,,,, ,XHS,5731399,消防栓,0,2.235, ,货站东路华丰纸业公司门口对面                                
360, ,,,,100,,J67963263963,1.971,509792.874,2544441.739,,禅城区,,,, ,XHS,5731423,消防栓,0,1.971, ,                                                            
384, ,,,,100,,J689637B21245,3.106,510994.426,2546480.863,,禅城区,,,, ,XHS,5731445,消防栓,0,3.106, ,同华东二路荣山中学东南侧                                    
422, ,,,,100,,J692637B2517,2.271,511123.445,2546974.064,,禅城区,,,, ,XHS,5731466,消防栓,0,2.271, ,同济路15号北边路口                                          
444, ,,,,100,,J696636B31601,3.841,510669.325,2547848.647,,禅城区,,,, ,XHS,5731485,消防栓,0,3.841, ,城门头路祖庙汽车站东边                                      
646, ,,,,100,,J702636A1574,3.748,510793.871,2549122.552,,禅城区,,,, ,XHS,5731670,消防栓,0,3.748, ,红直佛山制药厂门口                                          
492, ,,,,100,,J689634B42103,2.627,510349.993,2546528.363,,禅城区,,,, ,XHS,5731544,消防栓,0,2.627, ,唐园东一街3座东南侧                                         
533, ,,,,0,,J698634B52293D,3.742,510372.88,2548240.255,,禅城区,,,, ,XHS,5731565,消防栓,0,3.742, ,管已废                                                      
2453, ,,2006/2/17,,100,,J2004SP256G195,0,506045.504,2546181.987,,禅城区,,,, ,XHS,5733990,消防栓,0,2.62, ,                                                            
2454, ,,2006/3/27,,100,,J2005JJ0024G28,0,513161.748,2547907.402,,禅城区,,,, ,XHS,5733991,消防栓,0,2, ,                                                            
2757,2007-维修-065,,2007/9/10,,100,,J2007W065GX4,2.63,509775.04,2545764.224,,禅城区,,,, ,XHS,5733992,消防栓,-0.9,3.53, ,                                                            
2758,2007-维修-054,,2007/9/12,,100,,J2007W054GX4,2.71,510457.911,2546295.926,,禅城区,,,, ,XHS,5733993,消防栓,-0.9,3.61, ,                                                            
2759,2007-维修-044,,2007/9/13,,100,,J2007W044GX4,3.17,511067.022,2549143.935,,禅城区,,,, ,XHS,5733994,消防栓,-1,4.17, ,                                                            
2760,2007-维修-044,,2007/9/13,,100,,J2007W044GX8,3.7,511068.029,2549266.124,,禅城区,,,, ,XHS,5733995,消防栓,-1,4.7, ,                                                            
2762,2007-维修-085,,2007/9/12,,100,,J2007W085GX8,2.51,510554.46,2549830.267,,禅城区,,,, ,XHS,5733997,消防栓,-1,3.51, ,                                                            
